index,product,user_id,age,date,review,ratings,repurchase,packaging,price
34,Blush - Orgasm,Emilylewis17,Under 18,2 years ago,I was really excited to get this as a 100 points mini from Sephora however when I tried it it barely gave off any color. I was really shocked considering the hype around this product! It also had a...,1.0,65%,4.1,4
35,Blush - Orgasm,LaRar2,30-35,2 years ago,"It’s not me Orgasm, it’s you.  I’ve probably purchased and bottomed out pan after pan at least three or four times, always blaming myself as to why it settles in my pores.  Setting powders before...",2.0,65%,4.1,4
36,Blush - Orgasm,Babs81,36-43,2 years ago,"This blush confuses me. The color in the pan is so shockingly bright, I was almost afraid to use it. However...on my cheeks it almost doesn't show up, it wears more like a sparkly highlighter. I...",3.0,65%,4.1,4
37,Blush - Orgasm,moomooreviews,25-29,2 years ago,Stays all day. Pigmented. Love the subtle glow. Suitable for Everyday work look and also a more glamorous dinner look. Very versatile. Just that the rectangle packaging makes it abit hard to get...,4.0,65%,4.1,4
38,Blush - Orgasm,saintstephen,Under 18,2 years ago,"I love this blush, it's a beautiful subtle colour when you want it to, and the shimmers are a nice touch. I do feel that when you try to up the colour of the blush that the shimmers ruin my look...",4.0,65%,4.1,4
39,Blush - Orgasm,Laurelwood,25-29,2 years ago,"I was pleasantly surprised by this blush. I always thought it would be similar to the Luminoso blush by Milani, but it's much nicer. It does go well on my olive skintone.",4.0,65%,4.1,4
45,Blush - Orgasm,Jctmt07,30-35,2 years ago,I got a sample of this thinking i finally get to try it !!! and boy was i disappointed. The gold shift was way to dark for my skin and the color was not what i like personally. Too pink for me and...,2.0,65%,4.1,4
46,Blush - Orgasm,vortiz,56 & Over,2 years ago,"The best.  Always looks natural.  First one lasted years and years, and after spending quite some time looking - as in years...I am returning to this. ",5.0,65%,4.1,4
47,Blush - Orgasm,Eva5,44-55,2 years ago,"This is for very young, healthy and preferably tanned skin I think, if any of that is you, then it will probably look beautifully reflective, girly and fun. For me it's a pass: the amount of gold...",2.0,65%,4.1,4
48,Blush - Orgasm,Kaymms,36-43,2 years ago,"I ordered this almost 2 years ago and still have almost a full tube. I did not get the powder version, I got the cream stick version in orgasm. It is a very pretty pink but it is so shimmery! It...",3.0,65%,4.1,4
49,Blush - Orgasm,ChristopherCupcakes,44-55,2 years ago,Orgasm Blush from Nars is the best blush ever. It works well on almost every skin tone. IT blends in well with bronzers and highlighters. This is always in my makeup kit. ,5.0,65%,4.1,4
50,Blush - Orgasm,Ilovetomatoes,36-43,2 years ago,"I’ve had this for more than 5 years. Just one. I don’t use it every day, but there have been periods of time that I did. There’s a lot of pan showing now but I still think that what’s left will...",5.0,65%,4.1,4
51,Blush - Orgasm,Gina29,30-35,2 years ago,"An OG make up staple!!! I love that it goes on so beautiful. I have friends that love this product too, and they all have different skin tones. I truly believe this is perfect for any skin tone. I...",5.0,65%,4.1,4
52,Blush - Orgasm,Pinkrockabilly,25-29,2 years ago,"Meh, I wasn't impressed with this cult favorite. It gets hard pan quite quickly, fades in less than an hour, and is not universally flattering. The only positives were it went it on smoothly and...",2.0,65%,4.1,4
53,Blush - Orgasm,Lari405,30-35,2 years ago,"I get the hype now that I finally got to try this!

I went to Ulta and picked up the tiny, travel version for my bday. I never wanted to spend the $ on this blush even though it is an OG holy...",5.0,65%,4.1,4
54,Blush - Orgasm,Sleepingchild,25-29,3 years ago,"I don’t know why people are so crazy with this product. Honestly, I bought it because of the hype. After trying it... It is not really pigmented. I need to reapply it for so many times until the...",2.0,65%,4.1,4
60,Blush - Orgasm,Babsalot,36-43,3 years ago,I love the orgasm lipstick. it a really pretty peachy pink that looks pretty on my lips against my pale skin surprisingly so i thought I would love the blush. I didn't though. the peachy pink color...,3.0,65%,4.1,4
61,Blush - Orgasm,andinkify,25-29,3 years ago,"I honestly think this blush is overrated. I purchased it because of all the hype it gets. It's a good blush, but it's nothing special. It swatches beautifully, but it doesn't translate that well to...",3.0,65%,4.1,4
62,Blush - Orgasm,karen.boucher@merchants.co.za,44-55,3 years ago,"Love love love it!  It’s not a colour...it’s a blush, highlight, shimmer yet subtle. And it lasts the whole day. ",5.0,65%,4.1,4
63,Blush - Orgasm,kittenmint,19-24,3 years ago,"After holding out on trying Orgasm for the longest time, I finally gave in and am now an Orgasm convert! I have fair skin, (MAC NC15) and find this shade very flattering on my skin, not to bright...",5.0,65%,4.1,4
64,Blush - Orgasm,HeidiF69,44-55,3 years ago,"I avoided buying this for many years as there are plenty of good, lower-priced blushes out there. I was so excited to finally buy it. The color is gorgeous, but it fades on me after a couple hours...",3.0,65%,4.1,4
65,Blush - Orgasm,apollo5,44-55,3 years ago,"alright, i'm super late to the NARS orgasm frenzy, but i received a free mini of this as the birthday gift for 2018 from ulta.  it's a very pretty color that at first i thought was too light for my...",5.0,65%,4.1,4
66,Blush - Orgasm,hairlover14,25-29,3 years ago,I have used this blush for the last 5 years and I would seriously never use another! My go to!,5.0,65%,4.1,4
67,Blush - Orgasm,Bella424,36-43,3 years ago,"I like this, but I don’t love it. I’m an NC35-40 (depends on time of year etc) and I like the pinky/peachy color - looks natural and pretty, but it’s too shimmery for daytime in my opinion.  If it...",4.0,65%,4.1,4
68,Blush - Orgasm,valmont32677,36-43,3 years ago,The “Markle Sparkle” prevails! Meghan Markle loves this blush (the duchess of Sussex). And it’s easy to see why! It’s a super easy to wear peachy golden sheen. It gives my face light. I bought this...,5.0,65%,4.1,4
69,Blush - Orgasm,delocke,25-29,3 years ago,"Overall rating: 7.5/10

I'm NW13, for reference. I got this as a GWP. I had never considered buying it before as I don't like glitter on my face at all. I was pleasantly surprised! I am a huge...",5.0,65%,4.1,4
75,Blush - Orgasm,Fancymom,44-55,3 years ago,"I really do not understand what all the hype is about with this blush? It is orange with gold shimmer. Who flushes orange and gold? 
If you like unnatural colored cheeks, this is perfect for you....",2.0,65%,4.1,4
76,Blush - Orgasm,GeorgiaRose94,19-24,3 years ago,"This is my go to blush it looks great in all skin tones very natural and pretty. Nars claims this blush brighten and rejuvenates skin this is a understatement. This blush is the perfect shade! 
",5.0,65%,4.1,4
77,Blush - Orgasm,Karistona,25-29,3 years ago,"I remember purchasing this after I got my first paycheck ever! I was so excited to start using this blush I had seen everyone rave about. Well that turned out to be a dud. No matter what I did, it...",1.0,65%,4.1,4
78,Blush - Orgasm,EireFille,44-55,3 years ago,"NARS idea of The Big O is a Big NO for me.  And like Adrienne1973 below, I'm baffled at the insistence that this shade is universally flattering.  I'm fair/cool toned and the 2 times I've suffered...",1.0,65%,4.1,4
79,Blush - Orgasm,here2help,25-29,3 years ago,"This is still the best blush on this planet! I find it universal and so pretty, cant imagine a skin tone that wouldnt look beautiful in it. The pink shows and so does the warmth just wish it didnt...",5.0,65%,4.1,4
80,Blush - Orgasm,Adrienne1973,44-55,3 years ago,I’ll nwver understand this one. Especially as a professional makeup artist.. I just don’t love a super shimmery blush. Oh and absolutely forget it if there is any texture on the cheeks. I now use...,2.0,65%,4.1,4
81,Blush - Orgasm,Alleyna,44-55,3 years ago,"One of the first blushes I ever purchased of the best. It is sheer and somewhat buildable, which makes it easy to apply, even as a beginner. The shimmer is subtle and I appreciated it as a...",5.0,65%,4.1,4
82,Blush - Orgasm,SnailRacer,36-43,3 years ago,"I was so excited to buy this. It was my first ""hyped"" purchase and it looks so beautiful in the pan. However, it doesn't really show up that well. Maybe I got a dud, but mainly what shows up on my...",2.0,65%,4.1,4
83,Blush - Orgasm,jooselijn,25-29,3 years ago,Exquisite and a true classic. Packaging could be better but appreciate the mirror. ,5.0,65%,4.1,4
84,Blush - Orgasm,ersyara,19-24,3 years ago,"The colour is so beautiful when u see it, but not as beautiful as when i'm wearing on my skin:( somewhat it looks more like highlighter than a blush on because it's so glittery and the pink colour...",4.0,65%,4.1,4
90,Blush - Orgasm,rnaquin8382@brazosport.edu,30-35,3 years ago,This blush is a great color for any skin tone I absolutely love it. ,5.0,65%,4.1,4
91,Blush - Orgasm,NatalieKw4n,Under 18,3 years ago,The NARS ORGASM BLUSH is a pretty hyped up product. It gives my NC25-30 skin tone a nice warm glow during winter whilst leaving a faint hint of colour. This is not an overpowering corally-pink...,3.0,65%,4.1,4
92,Blush - Orgasm,Chelles93,44-55,3 years ago,"I love you NARS, and want to give you my money, but I won't now that NARS is sold in China, where they mandate animal testing. This brand is no longer cruelty-free.

If applied with a light hand,...",5.0,65%,4.1,4
93,Blush - Orgasm,amandaesthr,25-29,3 years ago,"first of all
i like this kind of sleek packaging

this looks great on my cheeks
i know, there's a lot of blush that similar with this shade

but still, i like nars better 
the price is...",5.0,65%,4.1,4
94,Blush - Orgasm,KateLausanne,36-43,3 years ago,"Pros:
- sleek packaging;
- no useless brush included;
- it lasts from 9 to 5 without reapplying. 

Cons:
- I don't love this color on my warm-toned light-medium complexion;
- there are...",2.0,65%,4.1,4
95,Blush - Orgasm,Pinetree13,36-43,3 years ago,İ love.. Best ever.. Pink plus orange tones mix added golden sparkle.. İt effectively looks like you have naturally sun burn. Love this,5.0,65%,4.1,4
96,Blush - Orgasm,JeanyRN,36-43,3 years ago,On my nc32 skin this never shows up. All I get is faint glitter. Because it's a cult product I wanted to really like it and it keeps showing up in advent calendars and beauty boxes so it must be...,1.0,65%,4.1,4
97,Blush - Orgasm,glamourdoll,44-55,3 years ago,"There is a lot of hype around this.  It is a pretty, peach-y pink shade with gold shimmer.  I think it looked nice on me (NC30).  I got a mini of this as a sephora bonus.  Even this mini will last...",4.0,65%,4.1,4
98,Blush - Orgasm,astrasasstra,19-24,3 years ago,"This is a very pretty blush in the pan. However, it is not 'universally flattering' as so many people claim. It definitely looks ashy on deeper skintones (if you're darker and want a nars blush...",2.0,65%,4.1,4
99,Blush - Orgasm,Aritzia,19-24,3 years ago,I guess I'm one of those unfortunate souls who did not like this product at all. I waited years to buy this and tried out several shoes before I finally just went into Sephora and bought it once...,1.0,65%,4.1,4
105,Blush - Orgasm,valentinell,44-55,3 years ago,I remember trying this blush years ago when it first came out.  I did not care for it then as I felt like it was too shiny.  Fast forward 5+ years and I decided to give it another chance based on a...,4.0,65%,4.1,4
106,Blush - Orgasm,Senseilynn,19-24,4 years ago,I understand the hype behind this product. It's absolutely beautiful on the skin. The color is very light but has a gold shimmer. I did my eyebrows and threw this blush on and got complimented on...,5.0,65%,4.1,4
107,Blush - Orgasm,Lucydibs,44-55,4 years ago,Pretty colour in the pan but I don't get the whole hype? There are so many similar colours with much better pigment. It doesn't apply the way it looks in the pan. The blush appears gritty but...,2.0,65%,4.1,4
108,Blush - Orgasm,Annath,36-43,4 years ago,"I do understand why this blush is so popular. It's the perfect, subtle color that just about anyone can work with. I've been using it off and on for about a month now and I do enjoy it. ",5.0,65%,4.1,4
109,Blush - Orgasm,Wolfie57,56 & Over,4 years ago,"For the woman who said that this is not a blush for those over 50, I could not disagree more. I am a pale blonde with grays, without blush I look like a ""White Walker"" from GOT. This is the best...",5.0,65%,4.1,4
110,Blush - Orgasm,msdi2u,44-55,4 years ago,"Horrible, horrible, HORRIBLE for anyone over the age of 50.  (This is my opinion.)  All I see are fairy-dust gold sparkles all over my cheeks when I used this... UGH!  Gold sparkles that sit inside...",1.0,65%,4.1,4
111,Blush - Orgasm,purplefeet123,19-24,4 years ago,"This was my first Nars Blush, and I wish I had went with a matte or satin formulation over this. The shade itself is so beautiful, the coral really brightens up my light olive (C2) skin tone....",3.0,65%,4.1,4
112,Blush - Orgasm,ChicagoSandy,56 & Over,4 years ago,"Disclaimer—this is two reviews, one for the cream formula (stick) and one for the powder. The cream is pricier, but the packaging straightforward. The powder (I got it in a travel-size as part of a...",5.0,65%,4.1,4
113,Blush - Orgasm,lurkymclurkerson,30-35,4 years ago,"In spite of being a hardcore makeup fan for about half of my life, I had never tried the original Orgasm from Nars. I've tried (and liked) many dupes, but I never really thought Nars was worth the...",5.0,65%,4.1,4
114,Blush - Orgasm,njr86,30-35,4 years ago,I've been using this (same blush) for at least 10 years. There's just nothing like it. The gold glitter in this is so beautiful & makes u look glowing and not glittery. I've tried all the DS dupes...,5.0,65%,4.1,4
120,Blush - Orgasm,FrazzleDazzle,25-29,4 years ago,"I haven't written a review in ages... I used to be so into makeup but recently I've found myself satisfied with what I had, not really interested in trying new things. Plus these days I find myself...",5.0,65%,4.1,4
121,Blush - Orgasm,heartsinwonderland,25-29,4 years ago,"As much as I hate to say this, this is my favorite blush. I have it in both the multiple and the powder, and while I love both, I think I like the powder more. It livens and brightens my extremely...",4.0,65%,4.1,4
122,Blush - Orgasm,oliviasanta,19-24,4 years ago,"I have the tiny sample size of this product and while it's nice, I wouldn't pay full price for it as there are so many dupes. I just recently picked up the milani baked blush in the shade bella...",2.0,65%,4.1,4
123,Blush - Orgasm,Joanavidal,19-24,4 years ago,"My favorite blush!

I bought it in March on a trip to Spain (in my country we will receive NARS on the 1st of June 2017) because it was a cult favorite. I heard from some bloggers that it can be...",5.0,65%,4.1,4
124,Blush - Orgasm,StarsnRocketsES,36-43,4 years ago,"A nice light blush that I don't have to worry about applying too much of. It's kinda subtle and very glowy looking on my skin tone. A definite must have for everyone, especially for natural...",4.0,65%,4.1,4
125,Blush - Orgasm,Kristina4ever15,19-24,4 years ago,"I originally bought this blush in a compact that also had the laguna bronzer in it. I'm so glad I did it this way, because this blush will last you foreeever! I love to use this blush over my...",5.0,65%,4.1,4
126,Blush - Orgasm,Smilexox,44-55,4 years ago,"I find this blusher exceptionally easy to wear. I am in my fifties and usually steer clear of glitter and sparkle but this product brings my fair, flat skin alive. No streakiness. Blends easily. It...",5.0,65%,4.1,4
127,Blush - Orgasm,Aimbl,44-55,4 years ago,"I am Asian, yellow olive combo skin, NC 30-35. I used to buy and use this blush for years (I also used to buy NARS multiple stick - a cream stick that also was light and sparkly that has probably...",2.0,65%,4.1,4
128,Blush - Orgasm,daffodil50,44-55,4 years ago,"I purchased this about 6 months ago due to the hype. When it first turned up and I saw the colour in the pan, I was like ""Crikey it's bright"". Anyway, I have been wearing only this since I...",4.0,65%,4.1,4
129,Blush - Orgasm,OrgasmOnMyCheeks,36-43,4 years ago,"Obviously, I love this blush. It brings my pale skin to life and does the job without looking like 'blush'. I just look healthier with this on my cheeks. It's quite pigmented so use a light touch,...",5.0,65%,4.1,4
135,Blush - Orgasm,Makeupbyvandijk,19-24,4 years ago,"Positive:

-	The texture of the product is smooth and applies evenly
-	It leaves such a pretty pop of colour on your cheekbones
-	Its very pigmented, so you don't need much
-	It gives a hint...",4.0,65%,4.1,4
136,Blush - Orgasm,scasey94,19-24,4 years ago,"This is a pretty colour, the reason I didn't give it a 5 is because I find that it's not as pigmented as I'd like it to be. It is also branded to be the shade for every skin tone, but I find that a...",4.0,65%,4.1,4
137,Blush - Orgasm,maekay,36-43,4 years ago,"Okay---it was a LONG walk up to the purchase of this blush for me. I can point to  s e v e r a l  reviews yours truly wrote in past the where I swore I would never pay $30 for a blush. And yet,...",5.0,65%,4.1,4
138,Blush - Orgasm,Noneatall,56 & Over,4 years ago,"This is my fav blush.  I'm iver fifty five and this is the perfect color.   Not to pink...and not to dark.   

I was struggling with color.  To light and I washed out. To dark and it looked so...",5.0,65%,4.1,4
139,Blush - Orgasm,yaiza123,25-29,4 years ago,"This is my favourite blush of all time. Nars orgasm truly is orgasmic, cause it leaves such a pretty pop of colour on your cheekbones, with a little bit of a golden shine/hue on top of it. Ive used...",4.0,65%,4.1,4
140,Blush - Orgasm,iszye,19-24,4 years ago,"I adore this blush, looks so pretty on my skin tone and looks just like my skin when blended on. ",5.0,65%,4.1,4
141,Blush - Orgasm,AtienQQ,19-24,4 years ago,"I tried the sample sized blush in the shade goulue; at first I was annoyed that the blush was so small but once I dipped my brush it and applied it, the pigmentation was amazing. You only need the...",5.0,65%,4.1,4
142,Blush - Orgasm,mallimia,36-43,4 years ago,I have been using Nars Orgasm for over 10 years and I absolutely love it! It is hands down my favorite blush. ,5.0,65%,4.1,4
143,Blush - Orgasm,poppyxxfreeman,Under 18,4 years ago,Don't get me wrong this is a beautiful blush and the packaging is gorgeous but I just found that it didn't do anything for me personally. I bought this about a year ago when it was being really...,3.0,65%,4.1,4
144,Blush - Orgasm,Angscar97,19-24,4 years ago,"Bought this because everybody raves about it and it has such great reviews, color way to pink and no good for my tan skin tone :( also not very pigmented :\ ",2.0,65%,4.1,4
150,Blush - Orgasm,Squidgymae,25-29,4 years ago,"This is definitely my HG blusher, such a gorgeous colour and it lasts me about a year! Even when I hit pan it still lived for much longer than I expected and never broke apart which is...",5.0,65%,4.1,4
151,Blush - Orgasm,SavannahAlexis,25-29,4 years ago,"I kid you not, I have had my pan of NARS orgasm blush for 8 YEARS. I use it almost every day and still can't even see the bottom of the container. This stuff is so pigmented that if you're using it...",5.0,65%,4.1,4
152,Blush - Orgasm,tigirlyly,36-43,4 years ago,"The universal flattering shimmer peach blush from NARS.  I wear this blush daily as part of my ""office makeup"".  Applies smoothly and blends easily.  Great for fair skin gals.  Hands down NARS...",5.0,65%,4.1,4
153,Blush - Orgasm,Sandiela,36-43,4 years ago,"I really like NARS products. One of my favs/go-to!! I like this blush but it's not an everyday blush. Honestly this blush works best in the summer, when your all sun kissed. It gives you that ""I...",3.0,65%,4.1,4
154,Blush - Orgasm,rosalee87,30-35,4 years ago,"I tried to love this blush but no...

I heard so much hype about this shade and I really wanted to love it; I purchased it TWICE - I gave it away the first time because I really didn't like the...",3.0,65%,4.1,4
155,Blush - Orgasm,patrishj,25-29,4 years ago,There's a reason this product achieved it's cult status. It's a beautiful peachy blush that gives a hint of sheen and makes your cheeks pop. I've seen it on girls with different skin tones (ranging...,5.0,65%,4.1,4
156,Blush - Orgasm,uglyfetty,19-24,4 years ago,"Perfect light pink blush on my NC30 skin tone. I love how much shimmer it has in it. Whenever I wear this, SO asks me what highlighter i'm using but it's just the blush! I like how its kinda...",5.0,65%,4.1,4
157,Blush - Orgasm,paraply,30-35,4 years ago,"I ordered this just to see what everyone was going on about. Nars is not available in my country, so I bought mine from asos. Nars was available at supermarkets here around 10 or so years ago....",3.0,65%,4.1,4
158,Blush - Orgasm,rachelhorrigan99,19-24,4 years ago,"Have loved this blush for years now! Willl be sure to always have it in my collection. Excellent colour pay off and a gorgeous shade, reall. Photographs well and the product lasts a really long...",5.0,65%,4.1,4
159,Blush - Orgasm,skwerlie,30-35,4 years ago,"Orgasm is one of those super hyped products that you kind of get suckered into because you hear about it all the time.  I don't really see what all the fuss is about - the base shade is lovely, I...",3.0,65%,4.1,4
165,Blush - Orgasm,sakurayama,36-43,4 years ago,"I like this well enough, but don't understand all the hype.  It is good if you want something noticeable - but has too much glitter and sheen to be considered natural.  I like Deep Throat better.",3.0,65%,4.1,4
166,Blush - Orgasm,Marieification,19-24,4 years ago,"I bought a giant size of this product at Sephora. I don't know why I did considering I hate glittery products. This is a very glittery blush. It is pretty, but just not my personal favorite. I...",3.0,65%,4.1,4
167,Blush - Orgasm,glitteradi,36-43,4 years ago,"I have actually bought this twice. I disliked it every time. First time I got it, it simply did not show up. I am wearing bobbi brown porcelain. So I am very fair. Only thing that was showing up...",1.0,65%,4.1,4
168,Blush - Orgasm,ephedrinity,19-24,4 years ago,"PROS:
- pigmented not so pigmented that it's hard to get a natural flush
- good balance of warm and cool undertones to suit most skin tones

CONS:
- the matte rubberised packaging gets me...",4.0,65%,4.1,4
169,Blush - Orgasm,CassLouLou,25-29,4 years ago,"It's true what they say! This blush is magical! At first, it felt like a bunch of hype, a blush that works for everyone? But after trying it on for the first time, indeed it looks great o me too!...",5.0,65%,4.1,4
170,Blush - Orgasm,ThalH,19-24,4 years ago,"Orgasm was one of the first blushes I ever owned. Being very fair, it gives the perfect glow/flush to my cheeks... I love the bit of shimmer in it and find that over a decade later - its still the...",5.0,65%,4.1,4
171,Blush - Orgasm,LagoBlu13,25-29,4 years ago,"The cult product lives up to the hype. I've been looking for a peachy pink blush for a while now and this is the first blush that meets my requirements. Due to mixed reviews, I was afraid that...",5.0,65%,4.1,4
172,Blush - Orgasm,Celenabella,30-35,4 years ago,"I'm a blusher junkie, owning a total of 12 blushers (powder, cream, liquid/ tint) I can say that nars orgasm is totally overrated. It is definitely not for very light/ pale skin with neutral/ cool...",2.0,65%,4.1,4
173,Blush - Orgasm,Applehead09,25-29,4 years ago,While this is a nice blush I feel like it is totally overrated. ,5.0,65%,4.1,4
174,Blush - Orgasm,miztea,30-35,4 years ago,Great blush! A little goes a long way!! ,5.0,65%,4.1,4
180,Blush - Orgasm,hanknelmer,30-35,4 years ago,"This is a fantastic product. But I don't think it's the only blush you'll ever need. I think it's very warm and shimmery, so I really don't think it's a color that should be worn by everybody with...",5.0,65%,4.1,4
181,Blush - Orgasm,hayleygvan,19-24,4 years ago,"This was my standard blush for years and whenever I use it, I remember why. It's a gorgeous colour and I love not needing to use a highlighter when I used this blush. I have to use this blush with...",3.0,65%,4.1,4
182,Blush - Orgasm,anapauuu,25-29,4 years ago,"The strangest thing happenned with this blush. 
For referance my skin is light, with neutral undertones (neither NC or NW, 15 too pale, 20 too dark) but very, very pale. 
I bought this blush...",5.0,65%,4.1,4
183,Blush - Orgasm,AnnaScrimgeour,25-29,4 years ago,Good ,5.0,65%,4.1,4
184,Blush - Orgasm,blindxfaith,19-24,4 years ago,"i bought orgasm as part of a duo with the laguna bronzer. both are so hyped that i figured i'd try both.

i don't know if i just picked a bad one or what, because the colour i got looked NOTHING...",2.0,65%,4.1,4
185,Blush - Orgasm,VitaminMC,25-29,4 years ago,I was ordering from Sephora online and this blush came up as a sample. I was thrilled because I had always wanted to try it due to it's crazy hype. I had heard of this blush so much and how...,2.0,65%,4.1,4
186,Blush - Orgasm,spaflam,44-55,4 years ago,"I can't believed that I have never reviewed this iconic product until now.
I have a deluxe sample and honestly, that's quite enough for my PPP 40-something skin.  It is a bit peachy on me and yes,...",4.0,65%,4.1,4
187,Blush - Orgasm,martiniroxx101,19-24,4 years ago,"The famous Orgasm is such a universally flattering shade and the flecks of gold give a great glow. However, I find myself preferring Deep Throat over this shade as it looks more flattering on my...",4.0,65%,4.1,4
188,Blush - Orgasm,Jstbontb,56 & Over,4 years ago,"This would have been a nicer product without the glitter or shimmer.

It isn't nearly as sparkly as Super Orgasm, but we really don't need any in our face makeup. At all. No matter what age we...",3.0,65%,4.1,4
189,Blush - Orgasm,Laoise27,25-29,4 years ago,"It's a nice colour and very pigmented, I wear it everyday as it goes with everything but sleek and NYX do dupes for like 6 euro, I wanted to see what the orgasm fuss was all about, its very over...",3.0,65%,4.1,4
195,Blush - Orgasm,CDJ,19-24,4 years ago,"Extremely disappointed with this product. I fell into the hype of this blush when I was first getting into makeup and it served it's purpose back in college, but now I realize that it simply does...",2.0,65%,4.1,4
196,Blush - Orgasm,waddle,25-29,4 years ago,The color of Orgasm is just as beautiful as you've heard.  The texture of the product is smooth and applies evenly.  It lasts all day in the dog days of summer.  But you can find amazingly similar...,3.0,65%,4.1,4
